ts,symbol,side,qty,price,cost,venue
2025-02-03 09:35:00,APP,BUY,56,353.51,21.954879954,XNAS
2025-02-03 09:35:00,PLTR,BUY,249,80.125,6.989377865624999,XNAS
2025-02-03 09:35:00,SPOT,BUY,37,538.92,30.387125456999993,XNYS
2025-02-03 09:35:00,CEG,BUY,70,285.4,22.15610145,XNAS
2025-02-03 09:35:00,COIN,BUY,73,272.98,16.8093781785,XNAS
2025-03-03 09:35:00,APP,SELL,56,350.24,21.751795296000004,XNAS
2025-03-03 09:35:00,CEG,SELL,70,249.38,19.359805815,XNAS
2025-03-03 09:35:00,COIN,SELL,73,232.23,14.30010218475,XNAS
2025-03-03 09:35:00,PLTR,SELL,26,88.55,0.8065532474999999,XNAS
2025-03-03 09:35:00,SPOT,SELL,5,610.6,4.652543025,XNYS
2025-03-03 09:35:00,MSTR,BUY,67,293.15,14.194586835,XNAS
2025-03-03 09:35:00,BABA,BUY,147,134.01,21.84720471675,XNYS
2025-03-03 09:35:00,TMUS,BUY,73,269.29,19.629665653500002,XNAS
2025-04-01 09:35:00,MSTR,SELL,67,293.53,14.212986776999998,XNAS
2025-04-01 09:35:00,PLTR,BUY,4,83.89,0.117555057,XNAS
2025-04-01 09:35:00,SPOT,BUY,2,547.2,1.6677835200000002,XNYS
2025-04-01 09:35:00,BABA,SELL,4,132.75,0.5888922750000001,XNYS
2025-04-01 09:35:00,TMUS,SELL,2,265.95,0.531128745,XNAS
2025-04-01 09:35:00,APP,BUY,72,264.22,21.09791415600001,XNAS
2025-05-01 09:35:00,BABA,SELL,143,120.19,19.061001209249998,XNYS
2025-05-01 09:35:00,PLTR,SELL,227,120.04,9.546033951,XNAS
2025-05-01 09:35:00,TMUS,SELL,71,245.27,17.3889194535,XNAS
2025-05-01 09:35:00,APP,BUY,1,282.0,0.31274505,XNAS
2025-05-01 09:35:00,MSTR,BUY,52,392.29,14.742415116,XNAS
2025-05-01 09:35:00,GEV,BUY,54,383.34,30.907707515999995,XNYS
2025-05-01 09:35:00,NFLX,BUY,18,1122.52,3.3960158819999995,XNAS
2025-06-02 09:35:00,NFLX,SELL,18,1201.2,3.6340504200000003,XNAS
2025-06-02 09:35:00,SPOT,SELL,34,660.0,34.19687699999999,XNYS
2025-06-02 09:35:00,APP,SELL,13,392.31,5.65606077075,XNAS
2025-06-02 09:35:00,GEV,SELL,5,475.0,3.5461125,XNYS
